metabolite	KEGG.ID
Carnosine	C00386
Adenine	C00147
DIHYDROBIOPTERIN	C02953
Adenosine	C00212
Creatine	C00300
Dihydrothymine	C00906
 sn-Glycero-3-phosphocholine; Glycerophosphocholine;	C00670
Choline	C00114
gamma-Aminobutyric acid	C00334
Homovanillate	C05582
Guanosine	C00387
L-Glutamic acid	C00025
 Estradiol-17beta; Estradiol; beta-Estradiol;	C00951
L-Phenylalanine	C02057
L-Histidine	C00135
L-Dopa	C00355
Anserine	C01262
Inosine	C00294
O-ACETYLCARNITINE	C02571
Oleate	C00712
L-ornithine	C00077
Ethanolamine phosphate	C00346
Taurine	C00245
O-Phospho-L-serine	C01005
Erythrono-1,4-lactone	NA
2-Methylglutaric acid	NA
2-Furoylglycine	NA
Adipate	CC06104
5-hydroxylysine	C16741
Skatole	C08313
L-5-Hydroxytryptophan	C00643
Caprylic acid	C06423
Chenodeoxycholic acid	C02528
4-Phenylbutyric acid	C21793
creatinine	C00791
 2-Furoate; 2-Furoic acid; 2-Furancarboxylic acid; Pyromucic acid;	C01546
 (R)-2-Hydroxyisocaproate; D-2-Hydroxyisocaproate; (R)-2-Hydroxy-4-methylpentanoate; (2R)-2-Hydroxy-4-methylpentanoic acid; D-Leucate;	C03264
L-Glutamine	C00064
Heptanoic acid	C17714
Homo-L-arginine	C01924
Linoleic acid	C01595
Isovalerylglycine	NA
Homocitrulline	C02427
L-Methionine	C00073
Hexanoylcarnitine	NA
4-Hydroxyphenylpyruvic acid	C01179
Hippurate	C01586
Isobutyryl-L-carnitine	NA
Lithocholic acid	C03990
N-Acetyl-L-alanine	NA
SEBACATE	C08277
Myristic acid	C06424
Phenylacetylglycine	C05598
Propionylcarnitine	C03017
 N-Glycoloyl-neuraminate; N-Glycolylneuraminate; Neu5Gc;	C03410
Pimelic acid	C02656
L-Citrulline	C00327
 5-Cholestene; Cholest-5-ene;	C05416
Ferulic acid	C01494
Trehalose	C01083
 Dihydrolipoamide; Dihydrothioctamide;	C00579
DL-a-Aminocaprylic acid	NA
Cotinine	NA
Nornicotine	C06524
N-Acetyl-L-glutamate	C00624
5-AMINOLEVULINATE	C00430
4-Trimethylammoniobutanoic acid	C01181
S-Adenosylmethionine	C00019
N1-Acetylspermine	C02567
Indole-3-acetaldehyde	C00637
N-acetylserotonin	C00978
Spermine	C00750
Spermidine	C00315
N6,N6,N6-Trimethyl-L-lysine	C03793
 Purine; Purine base;	C15587
Niacinamide	C00153
Pyridoxamine	C00534
Phosphocreatine	C02305
 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide; 5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide; AICAR; 5-Aminoimidazole-4-carboxamide ribotide; 5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 5-Amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide;	C04677
 5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate; 5,10-Methylene-THF;	C00143
Asymmetric dimethylarginine	C03626
Phosphocholine	C00588
3-methylhistamine	NA
5-Methoxysalicylic acid	NA
Benzoate	C00180
N-Acetyl-L-cysteine	NA
ibuprofen	C01588
7-Methylxanthine	C16353
 Myristoleic acid; (9Z)-Tetradecenoic acid; 9-Tetradecenoic acid; (Z)-Tetradec-9-enoic acid;	C08322
Coenzyme Q1	NA
 O-Butanoylcarnitine;	C02862
4-coumarate	C00811
N(6)-Methyllysine	C02728
Monoisobutyl phthalic acid	NA
Omega-hydroxydodecanoic acid	C08317
N-acetylputrescine	C02714
Indole-3-butyric acid	C11284
Oleamide	C19670
 Carnosol;	C09069
Docosahexaenoic acid	C06429
N8-Acetylspermidine	C01029
Cuminaldehyde	C06577
(R)-2-Hydroxycaprylic acid	NA
Imidazolelactic acid	NA
 L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid;	C00506
5-Methylcytosine	C02376
 4-Nitrocatechol;	C02235
L-Ergothioneine	C05570
Gamma-linolenic acid	C06426
Deoxyribose	C01801
 L-Selenocysteine;	C05688
 Cyclohexanone;	C00414
 (-)-Menthol; L-Menthol;	C00400
5-Aminopentanoic acid	C00431
L-Histidinol	C00860
trans-Cinnamaldehyde	C00903
Indole-3-ethanol	C00955
4-Guanidinobutanoic acid	C01035
Dethiobiotin	C01909
 Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole;	C03114
 Resveratrol; 3,4',5-Trihydroxystilbene; trans-Resveratrol;	C03582
 Se-Methyl-L-selenocysteine;	C05689
Piceatannol	C05901
 (2E,6E)-Farnesol; 2-trans,6-trans-Farnesol; trans-Farnesol;	C01126
Anabasine	C06180
N-a-L-Acetyl-arginine	NA
2-Arachidonoyl glycerol	C13856
(+/-)12(13)-DiHOME	C14829
 4,6-Diamino-5-formamidopyrimidine; 4,6-Diamino-5-N-formamidopyrimidine;	C06502
Octopamine	C04227
Proline betaine	C10172
Simvastatin	NA
PE(P-18:0/20:4(5Z,8Z,11Z,14Z))	C00350
Glycitein	C14536
L-2,4-Diaminobutyric acid	C03283
cis,cis-Muconic acid	C02480
N-Phenylacetylglutamine	C04148
Vaccenyl carnitine	NA
 11beta,21-Dihydroxy-5beta-pregnane-3,20-dione; 5beta-Pregnane-11beta,21-diol-3,20-dione;	C05475
 2-Oxo-3-hydroxy-4-phosphobutanoate; alpha-Keto-3-hydroxy-4-phosphobutyrate; (3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate; (3R)-3-Hydroxy-2-oxo-4-phosphooxybutanoate;	C06054
 3-Hydroxy-2-methylpyridine-4,5-dicarboxylate;	C04604
PC(14:0/20:2(11Z,14Z))	C00157
PC(14:0/24:1(15Z))	NA
PC(14:1(9Z)/22:2(13Z,16Z))	NA
 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine;	C21480
PG(18:0/20:3(5Z,8Z,11Z))	NA
PG(18:0/22:5(4Z,7Z,10Z,13Z,16Z))	NA
 3-Oxododecanoic acid; 3-Oxododecanoate;	C02367
3-Oxotetradecanoic acid	NA
Deoxyhypusine	NA
1-Oleoyl-rac-glycerol	NA
 2,6-Diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine;	C04744
N-Acetyl-L-leucine	C02710
 Amphetamine;	C07514
1-Naphthol	C11714
 5-Aminopentanamide;	C00990
trans-Zeatin	C00371
 Dimethylarsinous acid;	C20300
13'-Carboxy-gamma-tocotrienol	NA
beta-Carboline	C20157
Alpha-Ketooctanoic acid	NA
Mono(2-ethylhexyl) phthalate (MEHP)	C03343
 Dithiothreitol; 1,4-Dithiothreitol; threo-1,4-Dimercapto-2,3-butanediol; DL-threo-1,4-Dimercapto-2,3-butanediol;	C00265
Nootkatone	C17914
 Urolithin B;	C22596
 Dechloroethylcyclophosphamide; 3-Dechloroethylifosfamide;	C16550
 Milrinone;	C07224
 Carmustine; Bischloroethyl nitrosourea; BCNU;	C06873
 Grepafloxacin;	C11368
Allopurinol	NA
 Tolmetin;	C07149
 Tridihexethyl;	C07861
 Carteolol;	C06874
 Guanabenz;	C07034
 Thiabendazole;	C07131
 Tripelennamine;	C07180
 Fenoldopam;	C07693
 Propofol; 2,6-Diisopropylphenol;	C07523
 Apraclonidine;	C07668
 Edrophonium;	C06976
 Tocainide;	C07142
 Emedastine;	C07785
 Butenafine;	C08067
 Oxamniquine;	C07341
 Guanethidine;	C07036
Levetiracetam	C07841
 Flumazenil;	C07825
 Metipranolol;	C07915
Polystyrene sulfonate	NA
 Cefpodoxime;	C08114
 Glutethimide; 2-Ethyl-2-phenylglutarimide;	C07489
 Phendimetrazine;	C07904
Sulfamethazine	C19530
 Pargyline;	C07414
Histidyltyrosine	NA
Valylmethionine	NA
Piperine	C03882
 Cucurbic acid;	C08482
 Gentisein; 1,3,7-Trihydroxyxanthone;	C10065
 Xenognosin A;	C08731
 Nonane-4,6-dione;	C02445
Indole-3-acetamide	C02693
7-Hydroxycoumarine	C09315
Sulcatol	C07288
Boviquinone 4	NA
Prenol	C01390
 20-Hydroxyecdysone; Crustecdysone; Ecdysterone; (2beta,3beta,5beta,22R)-2,3,14,20,22,25-Hexahydroxycholest-7-en-6-one;	C02633
 Fumitremorgin B;	C20630
Laudanosine	C09558
 Casimiroedine;	C10577
Harmine	C06538
 N-(p-Hydroxyphenethyl)actinidine;	C09984
Linalyl propionate	NA
Methyl methylthio selenide	NA
5-Hexatriacontanone	NA
Avocadene 1-acetate	NA
Valerophenone	NA
2-METHYLPROPANAL	C03219
Cyclopentanone	C00557
Diethylenetriamine	NA
