Average_MW	MONO_MW	FORMULA	KEGG_ID	NAME	PUBCHEM_CID	CAS_ID	PATHWAY	hmdbid	super_class	class	sub_class	origin
 474.637;	 469.6885;	 C10Cl10	C18446	 Dienochlor;	 PubChem: 124489120	 CAS: 2227-17-0	NULL	HMDB0251233	Organohalogen compounds	Vinyl halides	Vinyl chlorides	null
 490.6364;	 485.6834;	 C10Cl10O	C01792	 Chlordecone; Kepone;	 PubChem: 4919	 CAS: 143-50-0	NULL	HMDB0059603	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Synthetic
 545.543;	 539.6262;	 C10Cl12	C14184	 Mirex;	 PubChem: 7846994	 CAS: 2385-85-5	NULL	HMDB0059573	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Synthetic
 233.0912;	 232.0058;	 C10H10Cl2O2	C19115	 Chlorfenprop-methyl;	 PubChem: 124489787	 CAS: 14437-17-3	NULL	NA	NA	NA	NA	NA
 249.0906;	 248.0007;	 C10H10Cl2O3	C14404	" 2,4-DB; 4-(2,4-Dichlorophenoxy)butyric acid;"	 PubChem: 17395404	 CAS: 94-82-6	NULL	NA	NA	NA	NA	NA
 211.6449;	 211.04;	 C10H10ClNO2	C14266	 p-Chloroacetoacetanilide; 4'-Chloroacetoacetanilide;	 PubChem: 17395266	 CAS: 101-92-8	NULL	NA	NA	NA	NA	NA
 158.1998;	 158.0844;	 C10H10N2	C10161	 Nicotyrine; beta-Nicotyrine;	 PubChem: 12347	 CAS: 487-19-4	NULL	HMDB0255591	Organoheterocyclic compounds	Pyridines and derivatives	null	null
 158.1998;	 158.0844;	 C10H10N2	C19463	" 1,5-Naphthalenediamine;"	 PubChem: 124490135	 CAS: 2243-62-1	NULL	HMDB0244231	Benzenoids	Naphthalenes	null	null
 174.1992;	 174.0793;	 C10H10N2O	C02693	 (Indol-3-yl)acetamide; Indole-3-acetamide;	 PubChem: 5661	 CAS: 879-37-8	 map00380 Tryptophan metabolism; map01100 Metabolic pathways	HMDB0029739	Organoheterocyclic compounds	Indoles and derivatives	Indoles	Endogenous
 174.1992;	 174.0793;	 C10H10N2O	C02937	 Indole-3-acetaldehyde oxime; Indole-3-acetaldoxime; 3-Indoleacetaldoxime; (E)-Indol-3-ylacetaldoxime; (Indol-3-yl)acetaldehyde oxime;	 PubChem: 5856	NULL	 map00380 Tryptophan metabolism; map00966 Glucosinolate biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism	NA	NA	NA	NA	NA
 174.1992;	 174.0793;	 C10H10N2O	C13008	 Edaravone;	 PubChem: 583397	 CAS: 89-25-8	NULL	HMDB0006240	Organoheterocyclic compounds	Azoles	Pyrazoles	Endogenous
 190.1986;	 190.0742;	 C10H10N2O2	C17204	 Indole-3-acetaldoxime N-oxide; IAOx N-oxide; 1-(1H-Indol-3-yl)-2-aci-nitroethane;	 PubChem: 96023613	NULL	NULL	NA	NA	NA	NA	NA
 190.1986;	 190.0742;	 C10H10N2O2	C21570	" 4-Methoxy-2,2'-bipyrrole-5-carbaldehyde; 4-Methoxy-2,2'-bipyrrole-5-carboxaldehyde;"	 PubChem: 340076551	 CAS: 10476-41-2	 map00333 Prodigiosin biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 222.1974;	 222.0641;	 C10H10N2O4	C17532	 Metoxadiazone;	 PubChem: 96023877	 CAS: 60589-06-2	NULL	NA	NA	NA	NA	NA
 206.2642;	 206.0514;	 C10H10N2OS	C16516	 Indolylmethylthiohydroximate; (E)-2-(1H-Indol-3-yl)-1-thioacetohydroximate;	 PubChem: 51090845	NULL	 map00380 Tryptophan metabolism; map00966 Glucosinolate biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism	NA	NA	NA	NA	NA
 202.2126;	 202.0855;	 C10H10N4O	C10930	 Metamitron; Goltix;	 PubChem: 13113	 CAS: 41394-05-2	NULL	HMDB0254501	Organoheterocyclic compounds	Triazines	"1,2,4-triazines"	null
 250.277;	 250.0524;	 C10H10N4O2S	C07658	 Sulfadiazine;	 PubChem: 9860	 CAS: 68-35-9	NULL	HMDB0014503	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	null
 266.2102;	 266.0651;	 C10H10N4O5	C01993	 5'-Oxoinosine; 5'-Dehydroinosine;	 PubChem: 5090	NULL	NULL	NA	NA	NA	NA	NA
 282.2096;	 282.06;	 C10H10N4O6	C11631	 9-Riburonosylhypoxanthine;	 PubChem: 13796	NULL	NULL	NA	NA	NA	NA	NA
 162.1852;	 162.0681;	 C10H10O2	C04314	" cis-1,2-Dihydronaphthalene-1,2-diol; (1R,2S)-1,2-Dihydronaphthalene-1,2-diol;"	 PubChem: 6972	NULL	 map00626 Naphthalene degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01220 Degradation of aromatic compounds	NA	NA	NA	NA	NA
 162.1852;	 162.0681;	 C10H10O2	C04514	" (1S,2S)-1,2-Dihydronaphthalene-1,2-diol; trans-1,2-Dihydronaphthalene-1,2-diol;"	 PubChem: 7127	NULL	NULL	NA	NA	NA	NA	NA
 162.1852;	 162.0681;	 C10H10O2	C06205	" 1,2-Dihydronaphthalene-1,2-diol;"	 PubChem: 8455	NULL	 map00980 Metabolism of xenobiotics by cytochrome P450	HMDB0060335	Benzenoids	Naphthalenes	null	null
 162.1852;	 162.0681;	 C10H10O2	C06358	 Methyl cinnamate; 3-Phenyl-2-propenoic acid methyl;	 PubChem: 8594	 CAS: 103-26-4	NULL	HMDB0033833	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Cinnamic acid esters	Food
 162.1852;	 162.0681;	 C10H10O2	C10472	 Isosafrole;	 PubChem: 12655	 CAS: 120-58-1	NULL	NA	NA	NA	NA	NA
 162.1852;	 162.0681;	 C10H10O2	C10475	 p-Methoxycinnamaldehyde; 4-Methoxycinnamaldehyde;	 PubChem: 12658	 CAS: 1963-36-6	NULL	HMDB0032611	Phenylpropanoids and polyketides	Cinnamaldehydes	null	Endogenous
 162.1852;	 162.0681;	 C10H10O2	C10490	 Safrole;	 PubChem: 12673	 CAS: 94-59-7	NULL	HMDB0033591	Organoheterocyclic compounds	Benzodioxoles	null	Food
 162.1852;	 162.0681;	 C10H10O2	C12088	 4-Hydroxycinnamoylmethane; 4-Hydroxybenzalacetone; p-Hydroxybenzalacetone; 4-(p-Hydroxyphenyl)-3-buten-2-one;	 PubChem: 14237	 CAS: 3160-35-8	 map00946 Degradation of flavonoids	NA	NA	NA	NA	NA
 162.1852;	 162.0681;	 C10H10O2	C15419	 trans-2-Phenylcyclopropanecarboxylic acid;	 PubChem: 17396416	 CAS: 939-90-2	NULL	NA	NA	NA	NA	NA
 162.1852;	 162.0681;	 C10H10O2	C20269	 Eugenol quinone methide;	 PubChem: 163312009	NULL	NULL	NA	NA	NA	NA	NA
 178.1846;	 178.063;	 C10H10O3	C01624	" Vermelone; 3,4-Dihydro-3,8-dihydroxy-1(2H)-naphthalenone;"	 PubChem: 4775	 CAS: 59796-04-2	NULL	NA	NA	NA	NA	NA
 178.1846;	 178.063;	 C10H10O3	C02666	 Coniferyl aldehyde; Coniferaldehyde; 4-Hydroxy-3-methoxycinnamaldehyde; Ferulaldehyde;	 PubChem: 5637	 CAS: 458-36-6	 map00940 Phenylpropanoid biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	HMDB0141782	Benzenoids	Phenols	Methoxyphenols	Endogenous
 178.1846;	 178.063;	 C10H10O3	C10667	 3-Acetyl-6-methoxybenzaldehyde;	 PubChem: 12850	 CAS: 531-99-7	NULL	NA	NA	NA	NA	NA
 178.1846;	 178.063;	 C10H10O3	C14784	" 1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene;"	 PubChem: 17395782	 CAS: 75947-54-5	 map00980 Metabolism of xenobiotics by cytochrome P450	HMDB0062273	Benzenoids	Tetralins	null	null
