KEGGID,super_class,class,sub_class,family
C01190,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C01290,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C02686,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C03692,Lipids,Glycolipids [Fig],Glyceroglycolipids,Saccharolipids[SL]
C04730,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C04884,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C04911,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C06037,Lipids,Glycolipids [Fig],Glyceroglycolipids,Saccharolipids[SL]
C06125,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C20825,Lipids,Glycolipids [Fig],Glyceroglycolipids,Saccharolipids[SL]
C00550,Lipids,Phospholipids [Fig],Phosphosphingolipids,Sphingolipids[SP]
C00157,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00344,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00350,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00416,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00958,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C01194,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C02737,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C04230,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C04756,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C05980,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00422,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C00641,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C01885,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C02112,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C06437,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C00022,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00026,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00033,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00036,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00042,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C00048,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00058,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00109,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00141,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00149,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,Organic acids
C00158,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,Organic acids
C00163,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00164,Organic acids,Carboxylic acids [Fig],3-Oxocarboxylic acids,Organic acids
C00186,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,Organic acids
C00209,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C00222,Organic acids,Carboxylic acids [Fig],3-Oxocarboxylic acids,Organic acids
C00232,Organic acids,Carboxylic acids [Fig],4-Oxocarboxylic acid,Organic acids
C00233,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
