Molecular Weight	Formula	Name	KEGG ID	HMDB ID	Final Class	Pathway	ID
506.99481	C10 H16 N5 O13 P3	Adenosine triphosphate (ATP)	C00002	HMDB0000538	Purines and derivatives	map00190 Oxidative phosphorylation; map00195 Photosynthesis; map00230 Purine metabolism; map00908 Zeatin biosynthesis; map00998 Biosynthesis of various secondary metabolites - part 2; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map03070 Bacterial secretion system; map04020 Calcium signaling pathway; map04066 HIF-1 signaling pathway; map04080 Neuroactive ligand-receptor interaction; map04142 Lysosome; map04217 Necroptosis; map04611 Platelet activation; map04621 NOD-like receptor signaling pathway; map04714 Thermogenesis; map04721 Synaptic vesicle cycle; map04742 Taste transduction; map04750 Inflammatory mediator regulation of TRP channels; map04911 Insulin secretion; map04917 Prolactin signaling pathway; map04924 Renin secretion; map04930 Type II diabetes mellitus; map05012 Parkinson disease; map05131 Shigellosis; map05133 Pertussis; map05410 Hypertrophic cardiomyopathy (HCM)	C00002
427.02999	C10 H15 N5 O10 P2	Adenosine diphosphate (ADP)	C00008	HMDB0001341	Purines and derivatives	map00190 Oxidative phosphorylation; map00195 Photosynthesis; map00230 Purine metabolism; map00908 Zeatin biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map04068 FoxO signaling pathway; map04080 Neuroactive ligand-receptor interaction; map04142 Lysosome; map04152 AMPK signaling pathway; map04611 Platelet activation; map04714 Thermogenesis; map04742 Taste transduction; map04924 Renin secretion; map05012 Parkinson disease	C00008
785.16045	C27 H33 N9 O15 P2	FAD	C00016	HMDB0001248	Nucleic acids and analogues	map00740 Riboflavin metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map04977 Vitamin digestion and absorption	C00016
347.06297	C10 H14 N5 O7 P	ADENOSINE-MONOPHOSPHATE	C00020	HMDB0000045	Purines and derivatives	"map00230 Purine metabolism; map00908 Zeatin biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01523 Antifolate resistance; map04022 cGMP-PKG signaling pathway; map04024 cAMP signaling pathway; map04068 FoxO signaling pathway; map04150 mTOR signaling pathway; map04151 PI3K-Akt signaling pathway; map04152 AMPK signaling pathway; map04211 Longevity regulating pathway; map04740 Olfactory transduction; map04742 Taste transduction; map04923 Regulation of lipolysis in adipocytes; map04924 Renin secretion; map04925 Aldosterone synthesis and secretion; map04927 Cortisol synthesis and secretion; map04928 Parathyroid hormone synthesis, secretion and action; map04934 Cushing syndrome; map05012 Parkinson disease; map05032 Morphine addiction"	C00020
384.12184	C14 H20 N6 O5 S	S-Adenosylhomocysteine	C00021	HMDB0000939	Nucleic acids and analogues	map00270 Cysteine and methionine metabolism; map01100 Metabolic pathways; map01230 Biosynthesis of amino acids	C00021
147.05307	C5 H9 N O4	L-Glutamic acid	C00025	HMDB0000148	Amino acids	"map00220 Arginine biosynthesis; map00250 Alanine, aspartate and glutamate metabolism; map00330 Arginine and proline metabolism; map00332 Carbapenem biosynthesis; map00340 Histidine metabolism; map00430 Taurine and hypotaurine metabolism; map00471 D-Glutamine and D-glutamate metabolism; map00480 Glutathione metabolism; map00524 Neomycin, kanamycin and gentamicin biosynthesis; map00630 Glyoxylate and dicarboxylate metabolism; map00650 Butanoate metabolism; map00660 C5-Branched dibasic acid metabolism; map00860 Porphyrin and chlorophyll metabolism; map00910 Nitrogen metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map02020 Two-component system; map04068 FoxO signaling pathway; map04072 Phospholipase D signaling pathway; map04080 Neuroactive ligand-receptor interaction; map04216 Ferroptosis; map04540 Gap junction; map04713 Circadian entrainment; map04720 Long-term potentiation; map04721 Synaptic vesicle cycle; map04723 Retrograde endocannabinoid signaling; map04724 Glutamatergic synapse; map04727 GABAergic synapse; map04730 Long-term depression; map04742 Taste transduction; map04964 Proximal tubule bicarbonate reclamation; map04974 Protein digestion and absorption; map05014 Amyotrophic lateral sclerosis (ALS); map05016 Huntington disease; map05030 Cocaine addiction; map05031 Amphetamine addiction; map05033 Nicotine addiction; map05034 Alcoholism; map05230 Central carbon metabolism in cancer"	C00025
146.02158	C5 H6 O5	Oxoglutaric acid	C00026	HMDB0000208	Organic acids	"map00020 Citrate cycle (TCA cycle); map00040 Pentose and glucuronate interconversions; map00053 Ascorbate and aldarate metabolism; map00220 Arginine biosynthesis; map00250 Alanine, aspartate and glutamate metabolism; map00300 Lysine biosynthesis; map00310 Lysine degradation; map00340 Histidine metabolism; map00365 Furfural degradation; map00430 Taurine and hypotaurine metabolism; map00471 D-Glutamine and D-glutamate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00650 Butanoate metabolism; map00660 C5-Branched dibasic acid metabolism; map00720 Carbon fixation pathways in prokaryotes; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map04066 HIF-1 signaling pathway; map04727 GABAergic synapse; map04922 Glucagon signaling pathway; map04964 Proximal tubule bicarbonate reclamation; map04976 Bile secretion; map05230 Central carbon metabolism in cancer"	C00026
566.05635	C15 H24 N2 O17 P2	URIDINE DIPHOSPHATE GLUCOSE	C00029	HMDB0000286	Nucleic acids and analogues	"map00040 Pentose and glucuronate interconversions; map00052 Galactose metabolism; map00053 Ascorbate and aldarate metabolism; map00240 Pyrimidine metabolism; map00500 Starch and sucrose metabolism; map00520 Amino sugar and nucleotide sugar metabolism; map00524 Neomycin, kanamycin and gentamicin biosynthesis; map00561 Glycerolipid metabolism; map00908 Zeatin biosynthesis; map01051 Biosynthesis of ansamycins; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01130 Biosynthesis of antibiotics"	C00029
75.03221	C2 H5 N O2	Glycine	C00037	HMDB0000123	Amino acids	"map00120 Primary bile acid biosynthesis; map00230 Purine metabolism; map00260 Glycine, serine and threonine metabolism; map00310 Lysine degradation; map00440 Phosphonate and phosphinate metabolism; map00460 Cyanoamino acid metabolism; map00480 Glutathione metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00730 Thiamine metabolism; map00860 Porphyrin and chlorophyll metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01502 Vancomycin resistance; map02010 ABC transporters; map02026 Biofilm formation - Escherichia coli; map04080 Neuroactive ligand-receptor interaction; map04721 Synaptic vesicle cycle; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer"	C00037
118.02659	C4 H6 O4	Succinate	C00042	HMDB0000254	Organic acids	"map00020 Citrate cycle (TCA cycle); map00190 Oxidative phosphorylation; map00250 Alanine, aspartate and glutamate metabolism; map00310 Lysine degradation; map00350 Tyrosine metabolism; map00360 Phenylalanine metabolism; map00361 Chlorocyclohexane and chlorobenzene degradation; map00620 Pyruvate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00640 Propanoate metabolism; map00650 Butanoate metabolism; map00720 Carbon fixation pathways in prokaryotes; map00760 Nicotinate and nicotinamide metabolism; map00920 Sulfur metabolism; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01220 Degradation of aromatic compounds; map02020 Two-component system; map04024 cAMP signaling pathway; map04727 GABAergic synapse; map04922 Glucagon signaling pathway; map05230 Central carbon metabolism in cancer"	C00042
