Molecular Weight	Formula	Name	KEGG ID	HMDB ID	Final Class	Pathway	ID
246.12564	C15 H18 O3	Santonin	NA	NA	NA	NA	B00168
487.29389	C26 H42 N Na O6	Glycocholic acid sodium salt	NA	NA	NA	NA	B0036
246.10054	C13 H14 N2 O3	N-acetyl-d-tryptophan	NA	NA	NA	NA	BMDB415
302.24575	C17 H34 O4	rac-Glycerol 1-myristate	NA	NA	NA	NA	BMDB498
220.10587	C8 H16 N2 O5	2-Acetamido-2-deoxy-beta-D-glucosylamine	NA	NA	NA	NA	BMDB57
157.07408	C7 H11 N O3	N-ACETYLPROLINE	NA	NA	NA	NA	BMDB621
663.10971	C21 H27 N7 O14 P2	Nicotinamide adenine dinucleotide (NAD+)	C00003	HMDB0000902	Nucleic acids and analogues	map00190 Oxidative phosphorylation; map00730 Thiamine metabolism; map00760 Nicotinate and nicotinamide metabolism; map00983 Drug metabolism - other enzymes; map01100 Metabolic pathways; map04152 AMPK signaling pathway; map04211 Longevity regulating pathway; map04212 Longevity regulating pathway - worm; map04925 Aldosterone synthesis and secretion; map04977 Vitamin digestion and absorption	C00003
97.97694	H3 O4 P	Phosphoric acid	C00009	HMDB0001429	Homogeneous non-metal compounds	"map00190 Oxidative phosphorylation; map00195 Photosynthesis; map02010 ABC transporters; map02020 Two-component system; map02024 Quorum sensing; map04111 Cell cycle - yeast; map04928 Parathyroid hormone synthesis, secretion and action; map04978 Mineral absorption; map05012 Parkinson disease"	C00009
785.15631	C27 H33 N9 O15 P2	Flavin adenine dinucleotide	C00016	HMDB0001248	Nucleic acids and analogues	map00740 Riboflavin metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map04977 Vitamin digestion and absorption	C00016
398.13658	C15 H22 N6 O5 S	S-Adenosylmethionine	C00019	HMDB0001185	Nucleic acids and analogues	map00261 Monobactam biosynthesis; map00270 Cysteine and methionine metabolism; map00330 Arginine and proline metabolism; map00908 Zeatin biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01230 Biosynthesis of amino acids; map04122 Sulfur relay system	C00019
347.06315	C10 H14 N5 O7 P	ADENOSINE-MONOPHOSPHATE	C00020	HMDB0000045	Purines and derivatives	"map00230 Purine metabolism; map00908 Zeatin biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01130 Biosynthesis of antibiotics; map01523 Antifolate resistance; map04022 cGMP-PKG signaling pathway; map04024 cAMP signaling pathway; map04068 FoxO signaling pathway; map04150 mTOR signaling pathway; map04151 PI3K-Akt signaling pathway; map04152 AMPK signaling pathway; map04211 Longevity regulating pathway; map04740 Olfactory transduction; map04742 Taste transduction; map04923 Regulation of lipolysis in adipocytes; map04924 Renin secretion; map04925 Aldosterone synthesis and secretion; map04927 Cortisol synthesis and secretion; map04928 Parathyroid hormone synthesis, secretion and action; map04934 Cushing syndrome; map05012 Parkinson disease; map05032 Morphine addiction"	C00020
384.12201	C14 H20 N6 O5 S	S-ADENOSYLHOMOCYSTEINE	C00021	HMDB0000939	Nucleic acids and analogues	map00270 Cysteine and methionine metabolism; map01100 Metabolic pathways; map01230 Biosynthesis of amino acids	C00021
147.05322	C5 H9 N O4	L-Glutamic acid	C00025	HMDB0000148	Amino acids	"map00220 Arginine biosynthesis; map00250 Alanine, aspartate and glutamate metabolism; map00330 Arginine and proline metabolism; map00332 Carbapenem biosynthesis; map00340 Histidine metabolism; map00430 Taurine and hypotaurine metabolism; map00471 D-Glutamine and D-glutamate metabolism; map00480 Glutathione metabolism; map00524 Neomycin, kanamycin and gentamicin biosynthesis; map00630 Glyoxylate and dicarboxylate metabolism; map00650 Butanoate metabolism; map00660 C5-Branched dibasic acid metabolism; map00860 Porphyrin and chlorophyll metabolism; map00910 Nitrogen metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various secondary metabolites - part 3; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map02020 Two-component system; map04068 FoxO signaling pathway; map04072 Phospholipase D signaling pathway; map04080 Neuroactive ligand-receptor interaction; map04216 Ferroptosis; map04540 Gap junction; map04713 Circadian entrainment; map04720 Long-term potentiation; map04721 Synaptic vesicle cycle; map04723 Retrograde endocannabinoid signaling; map04724 Glutamatergic synapse; map04727 GABAergic synapse; map04730 Long-term depression; map04742 Taste transduction; map04964 Proximal tubule bicarbonate reclamation; map04974 Protein digestion and absorption; map05014 Amyotrophic lateral sclerosis (ALS); map05016 Huntington disease; map05030 Cocaine addiction; map05031 Amphetamine addiction; map05033 Nicotine addiction; map05034 Alcoholism; map05230 Central carbon metabolism in cancer"	C00025
