map	Sub Pathway	Metabolism	Super Pathway
00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
00030	Pentose phosphate pathway	Metabolism	Carbohydrate metabolism
00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
00051	Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism
00052	Galactose metabolism	Metabolism	Carbohydrate metabolism
00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
00061	Fatty acid biosynthesis	Metabolism	Lipid metabolism
00062	Fatty acid elongation	Metabolism	Lipid metabolism
00071	Fatty acid degradation	Metabolism	Lipid metabolism
00072	Synthesis and degradation of ketone bodies	Metabolism	Lipid metabolism
00073	Cutin, suberine and wax biosynthesis	Metabolism	Lipid metabolism
00100	Steroid biosynthesis	Metabolism	Lipid metabolism
00120	Primary bile acid biosynthesis	Metabolism	Lipid metabolism
00121	Secondary bile acid biosynthesis	Metabolism	Lipid metabolism
00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism	Metabolism of cofactors and vitamins
00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
00190	Oxidative phosphorylation	Metabolism	Energy metabolism
00195	Photosynthesis	Metabolism	Energy metabolism
00196	Photosynthesis - antenna proteins	Metabolism	Energy metabolism
00220	Arginine biosynthesis	Metabolism	Amino acid metabolism
00230	Purine metabolism	Metabolism	Nucleotide metabolism
00232	Caffeine metabolism	Metabolism	Biosynthesis of other secondary metabolites
00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
00253	Tetracycline biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00254	Aflatoxin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
00261	Monobactam biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
00281	Geraniol degradation	Metabolism	Metabolism of terpenoids and polyketides
00290	Valine, leucine and isoleucine biosynthesis	Metabolism	Amino acid metabolism
00300	Lysine biosynthesis	Metabolism	Amino acid metabolism
00310	Lysine degradation	Metabolism	Amino acid metabolism
00311	Penicillin and cephalosporin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
00331	Clavulanic acid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00332	Carbapenem biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00333	Prodigiosin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00340	Histidine metabolism	Metabolism	Amino acid metabolism
00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
00361	Chlorocyclohexane and chlorobenzene degradation	Metabolism	Xenobiotics biodegradation and metabolism
00362	Benzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
00363	Bisphenol degradation	Metabolism	Xenobiotics biodegradation and metabolism
00364	Fluorobenzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
00365	Furfural degradation	Metabolism	Xenobiotics biodegradation and metabolism
00380	Tryptophan metabolism	Metabolism	Amino acid metabolism
00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism
00401	Novobiocin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00402	Benzoxazinoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00403	Indole diterpene alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00404	Staurosporine biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00405	Phenazine biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00410	beta-Alanine metabolism	Metabolism	Metabolism of other amino acids
00430	Taurine and hypotaurine metabolism	Metabolism	Metabolism of other amino acids
00440	Phosphonate and phosphinate metabolism	Metabolism	Metabolism of other amino acids
00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
00460	Cyanoamino acid metabolism	Metabolism	Metabolism of other amino acids
00471	D-Glutamine and D-glutamate metabolism	Metabolism	Metabolism of other amino acids
00472	D-Arginine and D-ornithine metabolism	Metabolism	Metabolism of other amino acids
00473	D-Alanine metabolism	Metabolism	Metabolism of other amino acids
00480	Glutathione metabolism	Metabolism	Metabolism of other amino acids
00500	Starch and sucrose metabolism	Metabolism	Carbohydrate metabolism
00510	N-Glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00511	Other glycan degradation	Metabolism	Glycan biosynthesis and metabolism
00512	Mucin type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00513	Various types of N-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00514	Other types of O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00515	Mannose type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
00520	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
00521	Streptomycin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00522	Biosynthesis of 12-, 14- and 16-membered macrolides	Metabolism	Metabolism of terpenoids and polyketides
00523	Polyketide sugar unit biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
00524	Neomycin, kanamycin and gentamicin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00525	Acarbose and validamycin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
00531	Glycosaminoglycan degradation	Metabolism	Glycan biosynthesis and metabolism
00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Metabolism	Glycan biosynthesis and metabolism
00533	Glycosaminoglycan biosynthesis - keratan sulfate	Metabolism	Glycan biosynthesis and metabolism
00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Metabolism	Glycan biosynthesis and metabolism
00540	Lipopolysaccharide biosynthesis	Metabolism	Glycan biosynthesis and metabolism
