gene	KEGG.ID
Akr1a1	K00002
Gpd1	K00006
Gpd1l	K00006
Sord	K00008
Akr1b7	K00011
Akr1b8	K00011
Akr1b10	K00011
Ugdh	K00012
Ldhal6b	K00016
Ldha	K00016
Ldhb	K00016
Ldhc	K00016
Bdh1	K00019
Hibadh	K00020
Hmgcr	K00021
Hadh	K00022
Mdh1	K00025
Mdh2	K00026
Me2	K00027
Me3	K00029
Me1	K00029
Idh3g	K00030
Idh3b	K00030
4933405O20Rik	K00030
Idh3a	K00030
Idh1	K00031
Idh2	K00031
Pgd	K00033
G6pd2	K00036
G6pdx	K00036
Hsd17b1	K00044
Grhpr	K00049
Phgdh	K00058
Rdh5	K00061
Hpgd	K00069
Hsd3b1	K00070
Hsd3b2	K00070
Hsd3b3	K00070
Hsd3b4	K00070
Hsd3b5	K00070
Hsd3b6	K00070
Hsd11b2	K00071
Spr	K00072
Dhdh	K00078
Cbr1	K00079
Cbr2	K00081
Cbr3	K00084
Impdh1	K00088
Impdh2	K00088
Ldhd	K00102
Gulo	K00103
Xdh	K00106
Chdh	K00108
L2hgdh	K00109
Gpd2	K00111
Adh5	K00121
Aldh2	K00128
Aldh3a2	K00128
Aldh1b1	K00128
Aldh3a1	K00129
Aldh3b2	K00129
Aldh3b1	K00129
Aldh3b3	K00129
Gm29667	K00134
Gapdh	K00134
Aldh5a1	K00139
Aldh6a1	K00140
Aasdh	K00142
Aldh9a1	K00149
Aox1	K00157
Aox2	K00157
Aox3	K00157
Aox4	K00157
Pdha1	K00161
Pdha2	K00161
Pdhb	K00162
Ogdh	K00164
Ogdhl	K00164
Bckdha	K00166
Bckdhb	K00167
Porcn	K00181
Wnt2	K00182
Wnt2b	K00182
Dpyd	K00207
Akr1c21	K00212
Dhcr7	K00213
Blvra	K00214
Tm7sf2	K00222
Sc5d	K00227
Cpox	K00228
Ppox	K00231
Acox1	K00232
Acox3	K00232
Sdha	K00234
Sdhb	K00235
Sdhc	K00236
Sdhd	K00237
Acads	K00248
Acadm	K00249
Akr1d1	K00251
Gcdh	K00252
Ivd	K00253
Dhodh	K00254
Acadl	K00255
Glud1	K00261
Ddo	K00272
Dao	K00273
Maob	K00274
Maoa	K00274
Pnpo	K00275
Aoc3	K00276
Aoc2	K00276
Lox	K00277
Gm21451	K00280
Loxl3	K00280
Loxl4	K00280
Loxl2	K00280
Gldc	K00281
Pycr1	K00286
Pycr2	K00286
Dhfr	K00287
Mthfd1	K00288
Aldh1l1	K00289
Aldh1l2	K00289
Aldh4a1	K00294
Pipox	K00306
Paox	K00308
Etfdh	K00311
Wnt3	K00312
Wnt3a	K00312
Sardh	K00314
Dmgdh	K00315
Prodh	K00318
Nnt	K00323
Cyb5r3	K00326
Cyb5rl	K00326
Cyb5r4	K00326
Cyb5r2	K00326
Cyb5r1	K00326
Por	K00327
Cryz	K00344
Nqo1	K00355
Qdpr	K00357
Gmpr2	K00364
Gmpr	K00364
Uox	K00365
Dld	K00382
Gsr	K00383
Suox	K00387
Wnt4	K00408
Uqcrfs1	K00411
Cyc1	K00413
Uqcrc1	K00414
Uqcrc2	K00415
Uqcrh	K00416
Uqcrb	K00417
Uqcrq	K00418
Gm6293	K00419
Uqcr10	K00419
Uqcr11	K00420
Tpo	K00431
Gpx1	K00432
Gpx2	K00432
Gpx3	K00432
Gpx5	K00432
Gpx7	K00432
Gpx8	K00432
Gpx6	K00432
Wnt5a	K00444
Wnt5b	K00444
Wnt6	K00445
Hgd	K00451
Haao	K00452
Tdo2	K00453
Cdo1	K00456
Hpd	K00457
Alox12	K00458
Alox12e	K00458
Alox15	K00460
Alox5	K00461
Ido1	K00463
Ido2	K00463
Miox	K00469
Bbox1	K00471
P4ha1	K00472
P4ha2	K00472
P4ha3	K00472
Plod1	K00473
Asph	K00476
Phyh	K00477
Hr	K00478
Fmo1	K00485
Fmo3	K00485
Fmo5	K00485
Fmo4	K00485
Fmo6	K00485
Gm4846	K00485
Gm4847	K00485
Fmo9	K00485
Fmo2	K00485
Kmo	K00486
Cyp27a1	K00488
Cyp7a1	K00489
Cyp4f15	K00490
Cyp4f13	K00490
Cyp4f17	K00490
Cyp4f40	K00490
Cyp4f14	K00490
Cyp4f37	K00490
Cyp4f16	K00490
Cyp4f18	K00490
Cyp11b1	K00497
Cyp11b2	K00497
Cyp11a1	K00498
Pah	K00500
Th	K00501
Tph2	K00502
Tph1	K00502
Dbh	K00503
Tyr	K00505
Tyrp1	K00506
Scd1	K00507
Scd2	K00507
Scd3	K00507
Scd4	K00507
Ptgs1	K00509
Hmox1	K00510
Sqle	K00511
Cyp17a1	K00512
Cyp21a1	K00513
Bco1	K00515
Fth1	K00522
Nnmt	K00541
Gamt	K00542
Asmt	K00543
Bhmt	K00544
Comt	K00545
Tomt	K00545
Hnmt	K00546
Bhmt2	K00547
Mtr	K00548
Pemt	K00551
Gnmt	K00552
Pnmt	K00553
Trmt1	K00555
Dnmt1	K00558
Tyms	K00560
Inmt	K00562
Rnmt	K00565
Mgmt	K00567
Tpmt	K00569
Wnt7a	K00572
Wnt7b	K00572
Pcmt1	K00573
Dph5	K00586
Icmt	K00587
Coq3	K00591
Mtrr	K00597
Mettl6	K00599
Shmt2	K00600
Shmt1	K00600
Atic	K00602
Mtfmt	K00604
Amt	K00605
Otc	K00611
Gatm	K00613
Tkt	K00615
Tktl2	K00615
Tktl1	K00615
Taldo1	K00616
Gnpnat1	K00621
Nat1	K00622
Nat2	K00622
Nat3	K00622
Chat	K00623
Crat	K00624
Acat1	K00626
Acat2	K00626
Acat3	K00626
Dlat	K00627
Glyat	K00628
Keg1	K00628
Gpam	K00629
Gpat2	K00629
Soat1	K00637
Soat2	K00637
Gcat	K00639
Alas1	K00643
Alas2	K00643
Mcat	K00645
Gnpat	K00649
Lcat	K00650
Cdyl	K00653
Cdyl2	K00653
Sptlc2	K00654
